Scientific_Name,No_of_plants,Habit,Family,Species_distribution,Conservation_status ,Endemic
Mimusops elengi L.,3283,Tree,Sapotaceae,N,LC,Non Endemic
Mitragyna parvifolia (Roxb.) Korth.,34,Tree,Rubiaceae,N,NE,Non Endemic
Morinda citrifolia L.,297,Tree,Rubiaceae,E,NE,Non Endemic
Moringa oleifera Lam.,95,Tree,Moringaceae,N,LC,Non Endemic
Morus alba L.,37,Tree,Moraceae,E,NE,Non Endemic
Muntingia calabura L.,856,Tree,Muntingiaceae,E,NE,Non Endemic
Murraya koenigii (L.) Spreng.,677,Tree,Rutaceae,N,NE,Non Endemic
Murraya paniculata (L.) Jacq.,17,Tree,Rutaceae,N,NE,Non Endemic
Mussaenda erythrophylla Schumach. & Thonn.,251,Shrub,Rubiaceae,E,LC,Non Endemic
Mussaenda frondosa L.,25,Shrub,Rubiaceae,N,NE,Non Endemic
Mussaenda laxa (Hook.f.) Hutch. ex Gamble,34,Shrub,Rubiaceae,N,NE,Non Endemic
Myristica beddomei King,96,Tree,Myristicaceae,N,NE,Non Endemic
Myristica fragrans Houtt.,652,Tree,Myristicaceae,E,DD,Non Endemic
Myristica malabarica Lam.,1015,Tree,Myristicaceae,N,VU,Endemic
Neolamarckia cadamba (Roxb.) Bosser,1753,Tree,Rubiaceae,N,NE,Non Endemic
Neolitsea scrobiculata Gamble,2,Tree,Lauraceae,N,NE,Endemic
Nephelium lappaceum L.,1430,Tree,Sapindaceae,E,LC,Non Endemic
Nerium oleander L.,5577,Shrub,Apocynaceae,N,LC,Non Endemic
Nothopegia racemosa (Dalzell) Ramamoorthy,10,Tree,Anacardiaceae,N,NE,Non Endemic
Nyctanthes arbor-tristis L.,248,Tree,Oleaceae,N,NE,Non Endemic
Ochna obtusata DC.,10,Tree,Ochnaceae,N,NE,Non Endemic
Ochreinauclea missionis (Wall. ex G.Don) Ridsdale,29,Tree,Rubiaceae,N,VU,Endemic
Olea dioica Roxb.,12307,Tree,Oleaceae,N,NE,Non Endemic
Oncoba spinosa Forssk.,1,Tree,Salicaceae,E,LC,Non Endemic
Ormosia travancorica Bedd.,43,Tree,Fabaceae,N,NE,Endemic
Oroxylum indicum (L.) Kurz,201,Tree,Bignoniaceae,N,NE,Non Endemic
Pachira aquatica Aubl.,77,Tree,Malvaceae,E,LC,Non Endemic
Pajanelia longifolia (Willd.) K.Schum.,25,Tree,Bignoniaceae,N,NE,Non Endemic
Palaquium ellipticum (Dalzell) Baill.,18,Tree,Sapotaceae,N,NE,Endemic
Palaquium ravii Sasidh. & Vink,53,Tree,Sapotaceae,N,EN,Endemic
Parkia biglandulosa Wight & Arn.,127,Tree,Fabaceae,E,NE,Non Endemic
Parkia timoriana (DC.) Merr.,95,Tree,Fabaceae,N,LC,Non Endemic
Pavetta indica L.,45,Shrub,Rubiaceae,N,NE,Non Endemic
Peltophorum pterocarpum (DC.) K.Heyne,318,Tree,Fabaceae,E,NE,Non Endemic
Persea americana Mill.,97,Tree,Lauraceae,E,LC,Non Endemic
Persea macrantha (Nees) Kosterm.,951,Tree,Lauraceae,N,NE,Non Endemic
Phyllanthus acidus (L.) Skeels,97,Tree,Phyllanthaceae,E,NE,Non Endemic
Phyllanthus emblica L.,1518,Tree,Phyllanthaceae,N,LC,Non Endemic
Phyllanthus indofischeri Bennet,14,Tree,Phyllanthaceae,N,VU,Non Endemic
Pimenta dioica (L.) Merr.,173,Tree,Myrtaceae,E,LC,Non Endemic
